Start level
main
data/backgrounds/BackgroundMenu.png
./data/music/audio_menu_loop.ogg
Start dialogue
Start button
data/buttons/playButton.png,data/buttons/playButtonUsed.png,342,625,selection
Start bulle
End bulle

Start level
selection
data/backgrounds/BackgroundSelection.png
./data/music/audio_menu_loop.ogg
Start dialogue
Start button
data/buttons/retourButton.png,data/buttons/retourButtonused.png,10,650,main
data/selectionLevels/R1.04.png,data/selectionLevels/R1.04.png,68,288,R1.04
data/selectionLevels/R1.07.png,data/selectionLevels/R1.07.png,384,288,R1.07
data/selectionLevels/matiereVerrouillee.png,data/selectionLevels/matiereVerrouillee.png,700,288,selection
Start bulle
End bulle

Start level
R1.04
data/backgrounds/BackgroundlLevelR1.04.png
./data/music/audio_bells.ogg
15
21
43
Start dialogue
data/questions/assembleur.png,data/questions/assembleurR.png
data/questions/assembleur2.png,data/questions/assembleur2R.png
data/questions/assembleur3.png,data/questions/assembleur3R.png
Start button
Start bulle
2439.00,d
3189.00,d
3939.00,k
4689.00,d
5439.00,d
6189.00,k
6939.00,k
7684.00,k
8439.00,d
9189.00,k
9939.00,k
10689.00,d
11439.00,d
12189.00,k
12939.00,d
15189.00,d
15939.00,l
16689.00,d
17064.00,l
17439.00,l
18189.00,d
18939.00,l
19689.00,k
19874.00,l
20439.00,l
20904.00,l
21189.00,d
21939.00,l
22689.00,k
23074.00,l
23439.00,l
24189.00,k
24939.00,l
25689.00,d
25874.00,l
26439.00,l
28689.00,s
29154.00,l
29439.00,l
30374.00,s
30564.00,l
30654.00,s
30939.00,l
31124.00,k
31404.00,s
31689.00,s
32154.00,s
32439.00,l
32814.00,d
32999.00,s
33189.00,s
33374.00,l
33654.00,s
33939.00,l
34124.00,s
34404.00,s
34689.00,s
34874.00,k
35154.00,s
35439.00,l
35814.00,d
35999.00,k
36374.00,s
36564.00,l
36654.00,s
36939.00,l
37404.00,s
37499.00,l
37689.00,l
38064.00,d
38154.00,s
38439.00,l
38814.00,k
38999.00,k
39374.00,l
39469.00,s
39654.00,s
39939.00,l
40219.00,s
End bulle


Start level
R1.07
data/backgrounds/BackgroundLevelR1.07.png
./data/music/audio_drill.ogg
39
Start dialogue
data/questions/maths.png,data/questions/mathsR.png
Start button
Start bulle
1899.00,d
2544.00,k
2759.00,d
3399.00,l
3614.00,d
4259.00,l
4474.00,d
4899.00,d
5329.00,d
5864.00,k
5974.00,d
6189.00,k
6829.00,d
7044.00,k
7579.00,d
7689.00,k
7899.00,d
8329.00,d
8544.00,l
8759.00,k
9079.00,d
9294.00,l
9399.00,k
9614.00,d
10149.00,l
10474.00,d
10899.00,l
11009.00,k
11224.00,l
11329.00,k
11974.00,d
12189.00,k
12509.00,l
13044.00,l
13364.00,d
13899.00,l
14224.00,k
14759.00,l
15079.00,d
End bulle
